commons-lang3,3.9,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
commons-logging,1.1.3,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
commons-math3,3.4.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
commons-net,3.3,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
commons-text,1.4,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
compress-lzf,1.0.3,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
config,1.4.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
core,1.1.2,BSD 3 Clause,Approved,"","",""
curator-client,2.13.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
curator-framework,2.6.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
curator-recipes,2.6.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
discipline_2.12,0.9.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
dnsjava,2.1.7,BSD 2-Clause license,Approved,"","",""
error_prone_annotations,2.0.18,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
failsafe,2.0.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
fastparse_2.12,2.1.3,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
flatbuffers,1.2.0-3f79e055,Apache License (v2.0),Approved,"","",""
frameless-core_2.12,0.8.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
frameless-dataset_2.12,0.8.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
fs2-core_2.12,1.0.5,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
fs2-experimental_2.12,1.0.5,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
fs2-io_2.12,1.0.5,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
fs2-reactive-streams_2.12,1.0.5,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
generics-resolver,3.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
geny_2.12,0.6.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
grpc-api,1.26.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
grpc-context,1.26.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
grpc-core,1.26.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
grpc-netty,1.26.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
grpc-protobuf,1.26.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
grpc-protobuf-lite,1.26.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
grpc-stub,1.26.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
