istio.io/api,v0.0.0-20200227124350-5ce1c9cc553f,"Apache 2.0,ISC,MIT,Mozilla Public License 2.0,New BSD,Simplified BSD",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,http://en.wikipedia.org/wiki/ISC_license,http://opensource.org/licenses/mit-license,https://www.mozilla.org/media/MPL/2.0/index.815ca599c9df.txt,http://opensource.org/licenses/BSD-3-Clause,http://opensource.org/licenses/bsd-license","",""
istio.io/client-go,v0.0.0-20200227190314-99bd63aa63ba,"Apache 2.0,ISC,MIT,Mozilla Public License 2.0,New BSD,Simplified BSD",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,http://en.wikipedia.org/wiki/ISC_license,http://opensource.org/licenses/mit-license,https://www.mozilla.org/media/MPL/2.0/index.815ca599c9df.txt,http://opensource.org/licenses/BSD-3-Clause,http://opensource.org/licenses/bsd-license","",""
istio.io/gogo-genproto,v0.0.0-20190930162913-45029607206a,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
k8s.io/apiextensions-apiserver,v0.18.4,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
k8s.io/apimachinery,v0.18.6,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
k8s.io/api,v0.18.6,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
k8s.io/client-go,v0.18.6,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
k8s.io/klog,v1.0.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
k8s.io/klog/v2,v2.0.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
k8s.io/kube-openapi,v0.0.0-20200410145947-61e04a5be9a6,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
k8s.io/utils,v0.0.0-20200603063816-c1c6865ac451,"Apache 2.0,New BSD",Approved,"http://www.apache.org/licenses/LICENSE-2.0.txt,http://opensource.org/licenses/BSD-3-Clause","",""
sigs.k8s.io/controller-runtime,v0.6.1,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
sigs.k8s.io/structured-merge-diff/v3,v3.0.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
sigs.k8s.io/yaml,v1.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",""
