LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
LicenseFinder::Gradle: [32mis active[0m
dropwizard-jackson,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-jersey,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-jetty,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-lifecycle,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-logging,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-metrics,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-request-logging,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-servlets,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-swagger,0.7.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-util,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-validation,1.1.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-views,0.8.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
dropwizard-views-freemarker,0.8.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
freemarker,2.3.21,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
groovy,2.4.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
groovy-json,2.4.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
groovy-xml,2.4.9,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
guava,14.0.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
guava,16.0.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
guava,21.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
guice,3.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-annotations,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-auth,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-client,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-common,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-hdfs,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-mapreduce-client-app,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-mapreduce-client-common,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-mapreduce-client-core,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-mapreduce-client-jobclient,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-mapreduce-client-shuffle,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-yarn-api,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-yarn-client,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-yarn-common,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-yarn-server-common,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hadoop-yarn-server-nodemanager,2.2.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hamcrest-core,1.3,New BSD License,"","",""
hamcrest-library,1.3,New BSD License,"","",""
hibernate-validator,5.3.4.Final,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
hk2-api,2.4.0-b34,CDDL + GPLv2 with classpath exception,"","",""
hk2-api,2.5.0-b32,CDDL + GPLv2 with classpath exception,"","",""
hk2-locator,2.4.0-b34,CDDL + GPLv2 with classpath exception,"","",""
hk2-locator,2.5.0-b32,CDDL + GPLv2 with classpath exception,"","",""
hk2-utils,2.4.0-b34,CDDL + GPLv2 with classpath exception,"","",""
hk2-utils,2.5.0-b32,CDDL + GPLv2 with classpath exception,"","",""
httpclient,4.5.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
httpcore,4.4.4,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
httpmime,4.5.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
ion-java,1.0.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
ivy,2.4.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-annotations,2.6.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-annotations,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-core,2.6.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-core,2.6.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-core,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-core-asl,1.9.13,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-databind,2.6.5,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-databind,2.6.7.1,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-databind,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-dataformat-cbor,2.6.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-dataformat-xml,2.4.2,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-dataformat-yaml,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-datatype-guava,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
jackson-datatype-jdk8,2.8.7,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,"",""
