boto,2.34.0,MIT,http://opensource.org/licenses/mit-license,Amazon Web Services Library,https://github.com/boto/boto/
bottle,0.12.7,MIT,http://opensource.org/licenses/mit-license,Fast and simple WSGI-framework for small web-applications.,http://bottlepy.org/
gunicorn,19.1.1,MIT,http://opensource.org/licenses/mit-license,WSGI HTTP Server for UNIX,http://gunicorn.org
pycrypto,2.6.1,Public domain,"",Cryptographic modules for Python.,http://www.pycrypto.org/
requests,2.5.0,Apache 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,Python HTTP for Humans.,http://python-requests.org
rollbar,0.13.12,MIT,http://opensource.org/licenses/mit-license,"Easy and powerful exception tracking with Rollbar. Send messages and exceptions with arbitrary context, get back aggregates, and debug production issues quickly.",http://github.com/rollbar/pyrollbar
six,1.11.0,MIT,http://opensource.org/licenses/mit-license,Python 2 and 3 compatibility utilities,http://pypi.python.org/pypi/six/
wsgiref,0.1.2,PSF or ZPL,"",WSGI (PEP 333) Reference Library,http://cheeseshop.python.org/pypi/wsgiref
