aws-sign2,0.6.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",http://www.futurealoof.com
aws-sign2,0.7.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",http://www.futurealoof.com
axobject-query,0.1.0,Apache 2.0,Approved,http://www.apache.org/licenses/LICENSE-2.0.txt,"",https://github.com/A11yance/axobject-query#readme
babel-code-frame,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://babeljs.io/
babel-core,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://babeljs.io/
babel-generator,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://babeljs.io/
babel-helper-builder-react-jsx,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-helper-call-delegate,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-helper-define-map,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-helper-function-name,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-helper-get-function-arity,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-helper-hoist-variables,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-helper-optimise-call-expression,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-helper-regex,6.26.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-helper-remap-async-to-generator,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-helper-replace-supers,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-helpers,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://babeljs.io/
babel-jest,21.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-messages,6.23.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://babeljs.io/
babel-plugin-check-es2015-constants,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-external-helpers,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-istanbul,4.1.5,New BSD,Approved,http://opensource.org/licenses/BSD-3-Clause,"",https://github.com/istanbuljs/babel-plugin-istanbul#readme
babel-plugin-jest-hoist,21.2.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-react-transform,3.0.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",https://github.com/gaearon/babel-plugin-react-transform#readme
babel-plugin-syntax-async-functions,6.13.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-syntax-class-properties,6.13.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-syntax-dynamic-import,6.18.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-syntax-flow,6.18.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-syntax-jsx,6.18.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-syntax-object-rest-spread,6.13.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-syntax-trailing-function-commas,6.22.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-async-to-generator,6.16.0,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
babel-plugin-transform-class-properties,6.24.1,MIT,Approved,http://opensource.org/licenses/mit-license,"",Unknown
